,product_id,I_%_ 23,F_%_ 23,L_%_ 23,I_%_ 24,F_%_ 24,L_%_ 24,I_%_ 26,F_%_ 26,L_%_ 26,I_%_ 41,F_%_ 41,L_%_ 41,I_%_ 48,F_%_ 48,L_%_ 48,I_%_180,F_%_180,L_%_180,I_%_188,F_%_188,L_%_188,I_%_407,F_%_407,L_%_407,I_%_490,F_%_490,L_%_490
463,135858,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
464,152638,93.10344827586206,0.0,6.896551724137931,17.24137931034483,0.0,82.75862068965517,6.896551724137931,55.172413793103445,37.93103448275862,79.3103448275862,20.689655172413794,0.0,37.93103448275862,62.06896551724138,0.0,96.55172413793103,0,3.4482758620689653,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
465,144976,0.0,0.0,100.0,10.344827586206897,41.37931034482759,48.275862068965516,10.344827586206897,58.620689655172406,31.03448275862069,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
466,138898,100.0,0.0,0.0,27.586206896551722,62.06896551724138,10.344827586206897,6.896551724137931,86.20689655172413,6.896551724137931,0.0,0.0,0.0,3.4482758620689653,0.0,96.55172413793103,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,138897,3.4482758620689653,0.0,96.55172413793103,27.586206896551722,62.06896551724138,10.344827586206897,17.24137931034483,75.86206896551724,6.896551724137931,0.0,0.0,0.0,37.93103448275862,62.06896551724138,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,138884,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,75.86206896551724,24.137931034482758,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
469,138885,75.86206896551724,0.0,24.137931034482758,6.896551724137931,20.689655172413794,72.41379310344827,6.896551724137931,17.24137931034483,75.86206896551724,100.0,0.0,0.0,96.55172413793103,3.4482758620689653,0.0,96.55172413793103,0,3.4482758620689653,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
470,138886,17.24137931034483,0.0,82.75862068965517,65.51724137931035,17.24137931034483,17.24137931034483,79.3103448275862,20.689655172413794,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,0.0,0.0,0.0,0.0,93.10344827586206,6.896551724137931,0.0,17.24137931034483,0.0,82.75862068965517
471,138882,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,86.20689655172413,13.793103448275861,0.0,0.0,0.0,100.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
472,139031,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
